,gis_id,chronology,hierarchy,sb_name,su_name,x,z
371,1253,12,3,topo,,7335.4689,119.776805
372,1254,12,3,topo,,7340.4441,119.736005
373,1255,12,3,topo,,7345.4193,119.26530499999998
374,1256,12,3,topo,,7350.3947,118.579205
375,1257,12,3,topo,,7355.3699,118.439105
376,1258,12,3,topo,,7360.3451,118.00000500000002
377,1259,12,3,topo,,7365.3205,118.057005
378,1260,12,3,topo,,7370.2957,118.527005
379,1261,12,3,topo,,7375.2709,118.229005
380,1267,12,3,topo,,7405.1225,118.861205
381,1268,12,3,topo,,7410.0977,119.00000500000002
382,1269,12,3,topo,,7415.0731,118.28100500000001
383,1270,12,3,topo,,7420.0483,118.00000500000002
384,1271,12,3,topo,,7425.0235,118.00000500000002
385,1272,12,3,topo,,7429.9989,117.014605
386,1273,12,3,topo,,7434.9741,117.27100499999999
387,1274,12,3,topo,,7439.9493,117.30120500000001
388,1275,12,3,topo,,7444.9247,117.787005
389,1276,12,3,topo,,7449.8999,117.16700499999999
390,1277,12,3,topo,,7454.8751,118.63920499999999
391,1278,12,3,topo,,7459.8503,119.00000500000002
392,1279,12,3,topo,,7464.8257,119.00000500000002
393,1280,12,3,topo,,7469.8009,119.00000500000002
394,1281,12,3,topo,,7474.7761,119.00000500000002
395,1282,12,3,topo,,7479.7515,119.00000500000002
396,1283,12,3,topo,,7484.6905,119.00000500000002
397,1284,12,3,topo,,7489.6295,118.49970499999999
398,1285,12,3,topo,,7494.5685,117.29120499999999
399,1286,12,3,topo,,7499.5075,116.714005
400,1287,12,3,topo,,7504.4465,117.448205
401,1288,12,3,topo,,7509.3855,118.47300499999999
402,1289,12,3,topo,,7514.3245,119.00000500000002
403,1290,12,3,topo,,7519.2635,118.66110499999999
404,1291,12,3,topo,,7524.2025,118.00000500000002
405,1292,12,3,topo,,7529.1415,118.096305
406,1293,12,3,topo,,7534.0805,118.59860499999999
407,1294,12,3,topo,,7539.0195,118.81040499999999
408,1295,12,3,topo,,7543.9585,119.00000500000002
409,1296,12,3,topo,,7548.8975,119.00000500000002
410,1297,12,3,topo,,7553.8365,119.00000500000002
411,1298,12,3,topo,,7558.7755,119.00000500000002
412,1299,12,3,topo,,7563.7145,119.00000500000002
